                PRELIMINARY PRICES AS OF 06/30/20 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----      ----    UNCH                 .03750
AUG20      ----      ----      ----      ----      ----    UNCH                 .01500
SEP20      ----      ----      ----      ----      ----    UNCH                 .01000
OCT20      ----      ----      ----      ----      ----    UNCH                 .00750
NOV20      ----      ----      ----      ----      ----    UNCH                 .00250
DEC20      ----      ----      ----      ----      ----    UNCH                 .00250
JAN21      ----      ----      ----      ----      ----    UNCH                -.00750
FEB21      ----      ----      ----      ----      ----    UNCH                -.00750
MAR21      ----      ----      ----      ----      ----    UNCH                -.00750
APR21      ----      ----      ----      ----      ----    UNCH                -.01000
MAY21      ----      ----      ----      ----      ----    UNCH                -.01000
2CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----      ----    UNCH                 .05250
AUG20      ----      ----      ----      ----      ----    UNCH                 .02500
SEP20      ----      ----      ----      ----      ----    UNCH                 .01750
OCT20      ----      ----      ----      ----      ----    UNCH                 .01000
NOV20      ----      ----      ----      ----      ----    UNCH                 .00500
DEC20      ----      ----      ----      ----      ----    UNCH                -.00500
JAN21      ----      ----      ----      ----      ----    UNCH                -.01500
FEB21      ----      ----      ----      ----      ----    UNCH                -.01500
MAR21      ----      ----      ----      ----      ----    UNCH                -.01750
APR21      ----      ----      ----      ----      ----    UNCH                -.02000
2RB RBOB TAM SYNTHETIC LONDON FUTURE
JLY20      ----      ----      ----      ----      ----    UNCH                 1.1735
AUG20      ----      ----      ----      ----      ----    UNCH                 1.1773
SEP20      ----      ----      ----      ----      ----    UNCH                 1.1698
3A WTI OIL CS12SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                  -1.36
SEP20      ----      ----      ----      ----      ----    UNCH                  -1.35
OCT20      ----      ----      ----      ----      ----    UNCH                  -1.34
NOV20      ----      ----      ----      ----      ----    UNCH                  -1.33
DEC20      ----      ----      ----      ----      ----    UNCH                  -1.31
JAN21      ----      ----      ----      ----      ----    UNCH                  -1.28
FEB21      ----      ----      ----      ----      ----    UNCH                  -1.23
MAR21      ----      ----      ----      ----      ----    UNCH                  -1.20
APR21      ----      ----      ----      ----      ----    UNCH                  -1.17
MAY21      ----      ----      ----      ----      ----    UNCH                  -1.15
JUN21      ----      ----      ----      ----      ----    UNCH                  -1.14
JLY21      ----      ----      ----      ----      ----    UNCH                  -1.12
AUG21      ----      ----      ----      ----      ----    UNCH                  -1.12
SEP21      ----      ----      ----      ----      ----    UNCH                  -1.12
DEC21      ----      ----      ----      ----      ----    UNCH                  -1.16
MAR22      ----      ----      ----      ----      ----    UNCH                  -1.17
JUN22      ----      ----      ----      ----      ----    UNCH                  -1.17
SEP22      ----      ----      ----      ----      ----    UNCH                  -1.19
DEC22      ----      ----      ----      ----      ----    UNCH                  -1.15
MAR23      ----      ----      ----      ----      ----    UNCH                  -1.17
JUN23      ----      ----      ----      ----      ----    UNCH                  -1.14
3CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----      ----    UNCH                 .06250
AUG20      ----      ----      ----      ----      ----    UNCH                 .03250
SEP20      ----      ----      ----      ----      ----    UNCH                 .02000
OCT20      ----      ----      ----      ----      ----    UNCH                 .01250
NOV20      ----      ----      ----      ----      ----    UNCH                -.00250
DEC20      ----      ----      ----      ----      ----    UNCH                -.01250
JAN21      ----      ----      ----      ----      ----    UNCH                -.02250
FEB21      ----      ----      ----      ----      ----    UNCH                -.02500
MAR21      ----      ----      ----      ----      ----    UNCH                -.02750
4A WTI OIL CS6 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                   -.70
SEP20      ----      ----      ----      ----      ----    UNCH                   -.71
OCT20      ----      ----      ----      ----      ----    UNCH                   -.72
NOV20      ----      ----      ----      ----      ----    UNCH                   -.71
DEC20      ----      ----      ----      ----      ----    UNCH                   -.70
JAN21      ----      ----      ----      ----      ----    UNCH                   -.69
FEB21      ----      ----      ----      ----      ----    UNCH                   -.66
MAR21      ----      ----      ----      ----      ----    UNCH                   -.64
APR21      ----      ----      ----      ----      ----    UNCH                   -.62
MAY21      ----      ----      ----      ----      ----    UNCH                   -.62
JUN21      ----      ----      ----      ----      ----    UNCH                   -.61
JLY21      ----      ----      ----      ----      ----    UNCH                   -.59
AUG21      ----      ----      ----      ----      ----    UNCH                   -.57
DEC21      ----      ----      ----      ----      ----    UNCH                   -.53
JUN22      ----      ----      ----      ----      ----    UNCH                   -.63
DEC22      ----      ----      ----      ----      ----    UNCH                   -.54
JUN23      ----      ----      ----      ----      ----    UNCH                   -.61
5A WTI OIL CS3 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                   -.34
SEP20      ----      ----      ----      ----      ----    UNCH                   -.36
OCT20      ----      ----      ----      ----      ----    UNCH                   -.36
NOV20      ----      ----      ----      ----      ----    UNCH                   -.36
DEC20      ----      ----      ----      ----      ----    UNCH                   -.35
JAN21      ----      ----      ----      ----      ----    UNCH                   -.36
FEB21      ----      ----      ----      ----      ----    UNCH                   -.35
MAR21      ----      ----      ----      ----      ----    UNCH                   -.35
APR21      ----      ----      ----      ----      ----    UNCH                   -.33
MAY21      ----      ----      ----      ----      ----    UNCH                   -.31
JUN21      ----      ----      ----      ----      ----    UNCH                   -.29
JLY21      ----      ----      ----      ----      ----    UNCH                   -.29
6A WTI OIL CS2 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                   -.22
SEP20      ----      ----      ----      ----      ----    UNCH                   -.23
OCT20      ----      ----      ----      ----      ----    UNCH                   -.25
NOV20      ----      ----      ----      ----      ----    UNCH                   -.24
DEC20      ----      ----      ----      ----      ----    UNCH                   -.23
JAN21      ----      ----      ----      ----      ----    UNCH                   -.24
FEB21      ----      ----      ----      ----      ----    UNCH                   -.24
MAR21      ----      ----      ----      ----      ----    UNCH                   -.23
APR21      ----      ----      ----      ----      ----    UNCH                   -.23
MAY21      ----      ----      ----      ----      ----    UNCH                   -.22
JUN21      ----      ----      ----      ----      ----    UNCH                   -.19
JLY21      ----      ----      ----      ----      ----    UNCH                   -.19
6CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----      ----    UNCH                 .07500
AUG20      ----      ----      ----      ----      ----    UNCH                 .03000
SEP20      ----      ----      ----      ----      ----    UNCH                 .00750
OCT20      ----      ----      ----      ----      ----    UNCH                -.01000
NOV20      ----      ----      ----      ----      ----    UNCH                -.02750
DEC20      ----      ----      ----      ----      ----    UNCH                -.04000
A2 WTI OIL CS1 SYNTHT
