         FINAL PRE-CLEARING PRICES AS OF 02/10/20 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
0CJ TEST PLATINUM
JUN20    1021.3    1021.3    1021.3    1021.3      ----    ----          10       ----
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                    10
0UL TEST EUA FUTURE
JUN20     .0025     .0025     .0025     .0025      ----    ----          10       ----
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                    10
1CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB20      ----      ----      ----      ----   -.00750    UNCH                -.00750
MAR20      ----      ----      ----      ----   -.01750    UNCH                -.01750
APR20      ----      ----      ----      ----   -.01250 -.00250                -.01000
MAY20      ----      ----      ----      ----   -.00500    UNCH                -.00500
JUN20      ----      ----      ----      ----   -.00500    UNCH                -.00500
JLY20      ----      ----      ----      ----    .00000    UNCH                 .00000
AUG20      ----      ----      ----      ----    .00000    UNCH                 .00000
SEP20      ----      ----      ----      ----    .00250    UNCH                 .00250
OCT20      ----      ----      ----      ----    .00500    UNCH                 .00500
NOV20      ----      ----      ----      ----    .00500    UNCH                 .00500
DEC20      ----      ----      ----      ----   -.01000    UNCH                -.01000
JAN21      ----      ----      ----      ----    .00000    UNCH                 .00000
FEB21      ----      ----      ----      ----    .00000    UNCH                 .00000
2CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB20      ----      ----      ----      ----   -.02500    UNCH                -.02500
MAR20      ----      ----      ----      ----   -.03000 -.00250                -.02750
APR20      ----      ----      ----      ----   -.01750 -.00250                -.01500
MAY20      ----      ----      ----      ----   -.01000    UNCH                -.01000
JUN20      ----      ----      ----      ----   -.00500    UNCH                -.00500
JLY20      ----      ----      ----      ----    .00000    UNCH                 .00000
AUG20      ----      ----      ----      ----    .00250    UNCH                 .00250
SEP20      ----      ----      ----      ----    .00750    UNCH                 .00750
OCT20      ----      ----      ----      ----    .01000    UNCH                 .01000
NOV20      ----      ----      ----      ----   -.00500    UNCH                -.00500
DEC20      ----      ----      ----      ----   -.01000    UNCH                -.01000
2RB RBOB TAM SYNTHETIC LONDON FUTURE
MAR20      ----      ----      ----      ----    1.5351  +.0060                 1.5291
APR20      ----      ----      ----      ----    1.6793  -.0064                 1.6857
MAY20      ----      ----      ----      ----    1.6765  -.0116                 1.6881
3A WTI OIL CS12SYNTHT
MAR20      ----      ----      ----      ----     -1.16    -.47                   -.69
APR20      ----      ----      ----      ----      -.94    -.52                   -.42
MAY20      ----      ----      ----      ----      -.70    -.57                   -.13
JUN20      ----      ----      ----      ----      -.50    -.59                    .09
JLY20      ----      ----      ----      ----      -.28    -.59                    .31
AUG20      ----      ----      ----      ----      -.14    -.56                    .42
SEP20      ----      ----      ----      ----      -.07    -.52                    .45
OCT20      ----      ----      ----      ----      -.05    -.46                    .41
NOV20      ----      ----      ----      ----      -.05    -.40                    .35
DEC20      ----      ----      ----      ----      -.12    -.37                    .25
JAN21      ----      ----      ----      ----      -.13    -.32                    .19
FEB21      ----      ----      ----      ----      -.18    -.30                    .12
MAR21      ----      ----      ----      ----      -.23    -.28                    .05
APR21      ----      ----      ----      ----      -.28    -.27                   -.01
JUN21      ----      ----      ----      ----      -.36    -.26                   -.10
SEP21      ----      ----      ----      ----      -.42    -.24                   -.18
DEC21      ----      ----      ----      ----      -.46    -.20                   -.26
MAR22      ----      ----      ----      ----      -.45    -.18                   -.27
JUN22      ----      ----      ----      ----      -.47    -.12                   -.35
SEP22      ----      ----      ----      ----      -.50    -.08                   -.42
DEC22      ----      ----      ----      ----      -.52    -.07                   -.45
MAR23      ----      ----      ----      ----      -.52    -.03                   -.49
3CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB20      ----      ----      ----      ----   -.03750 -.00250                -.03500
MAR20      ----      ----      ----      ----   -.03500 -.00250                -.03250
APR20      ----      ----      ----      ----   -.02250 -.00250                -.02000
MAY20      ----      ----      ----      ----   -.01000    UNCH                -.01000
JUN20      ----      ----      ----      ----   -.00500    UNCH                -.00500
JLY20      ----      ----      ----      ----    .00250    UNCH                 .00250
AUG20      ----      ----      ----      ----    .00750    UNCH                 .00750
SEP20      ----      ----      ----      ----    .01250    UNCH                 .01250
OCT20      ----      ----      ----      ----    .00000    UNCH                 .00000
NOV20      ----      ----      ----      ----   -.00500    UNCH                -.00500
4A WTI OIL CS6 SYNTHT
MAR20      ----      ----      ----      ----     -1.12    -.11                  -1.01
APR20      ----      ----      ----      ----      -.97    -.21                   -.76
MAY20      ----      ----      ----      ----      -.77    -.31                   -.46
JUN20      ----      ----      ----      ----      -.55    -.37                   -.18
JLY20      ----      ----      ----      ----      -.33    -.41                    .08
AUG20      ----      ----      ----      ----      -.15    -.39                    .24
SEP20      ----      ----      ----      ----      -.04    -.36                    .32
OCT20      ----      ----      ----      ----       .03    -.31                    .34
NOV20      ----      ----      ----      ----       .07    -.26                    .33
DEC20      ----      ----      ----      ----       .05    -.22                    .27
JAN21      ----      ----      ----      ----       .05    -.18                    .23
FEB21      ----      ----      ----      ----       .01    -.17                    .18
MAR21      ----      ----      ----      ----      -.03    -.16                    .13
APR21      ----      ----      ----      ----      -.08    -.15                    .07
JUN21      ----      ----      ----      ----      -.17    -.15                   -.02
DEC21      ----      ----      ----      ----      -.19    -.11                   -.08
JUN22      ----      ----      ----      ----      -.27    -.09                   -.18
DEC22      ----      ----      ----      ----      -.20    -.03                   -.17
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
MAR20      ----      ----      ----      ----    1.5235  -.0024                 1.5259
5A WTI OIL CS3 SYNTHT
MAR20      ----      ----      ----      ----      -.68    +.04                   -.72
APR20      ----      ----      ----      ----      -.68    -.01                   -.67
MAY20      ----      ----      ----      ----      -.57    -.08                   -.49
JUN20      ----      ----      ----      ----      -.44    -.15                   -.29
JLY20      ----      ----      ----      ----      -.29    -.20                   -.09
AUG20      ----      ----      ----      ----      -.20    -.23                    .03
SEP20      ----      ----      ----      ----      -.11    -.22                    .11
OCT20      ----      ----      ----      ----      -.04    -.21                    .17
NOV20      ----      ----      ----      ----       .05    -.16                    .21
DEC20      ----      ----      ----      ----       .07    -.14                    .21
JAN21      ----      ----      ----      ----       .07    -.10                    .17
FEB21      ----      ----      ----      ----       .02    -.10                    .12
MAR21      ----      ----      ----      ----      -.02    -.08                    .06
6A WTI OIL CS2 SYNTHT
MAR20      ----      ----      ----      ----      -.46    +.04                   -.50
APR20      ----      ----      ----      ----      -.47    +.02                   -.49
MAY20      ----      ----      ----      ----      -.43    -.03                   -.40
JUN20      ----      ----      ----      ----      -.35    -.08                   -.27
JLY20      ----      ----      ----      ----      -.23    -.12                   -.11
AUG20      ----      ----      ----      ----      -.15    -.15                    .00
SEP20      ----      ----      ----      ----      -.11    -.16                    .05
OCT20      ----      ----      ----      ----      -.05    -.14                    .09
NOV20      ----      ----      ----      ----       .01    -.13                    .14
DEC20      ----      ----      ----      ----       .05    -.10                    .15
JAN21      ----      ----      ----      ----       .06    -.07                    .13
FEB21      ----      ----      ----      ----       .03    -.07                    .10
MAR21      ----      ----      ----      ----       .00    -.06                    .06
6CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB20      ----      ----      ----      ----   -.04750 -.00250                -.04500
MAR20      ----      ----      ----      ----   -.04000 -.00250                -.03750
APR20      ----      ----      ----      ----   -.02000 -.00250                -.01750
MAY20      ----      ----      ----      ----   -.00250    UNCH                -.00250
JUN20      ----      ----      ----      ----    .00750    UNCH                 .00750
JLY20      ----      ----      ----      ----    .00250    UNCH                 .00250
AUG20      ----      ----      ----      ----    .00250    UNCH                 .00250
SEP20      ----      ----      ----      ----    .00250    UNCH                 .00250
A2 WTI OIL CS1 SYNTHT
MAR20      ----      ----      ----      ----      -.21    +.02                   -.23
APR20      ----      ----      ----      ----      -.25    +.02                   -.27
MAY20      ----      ----      ----      ----      -.22    UNCH                   -.22
JUN20      ----      ----      ----      ----      -.21    -.03                   -.18
JLY20      ----      ----      ----      ----      -.14    -.05                   -.09
AUG20      ----      ----      ----      ----      -.09    -.07                   -.02
SEP20      ----      ----      ----      ----      -.06    -.08                    .02
OCT20      ----      ----      ----      ----      -.05    -.08                    .03
NOV20      ----      ----      ----      ----       .00    -.06                    .06
DEC20      ----      ----      ----      ----       .01    -.07                    .08
JAN21      ----      ----      ----      ----       .04    -.03                    .07
FEB21      ----      ----      ----      ----       .02    -.04                    .06
MAR21      ----      ----      ----      ----       .01    -.03                    .04
APR21      ----      ----      ----      ----      -.01    -.03                    .02
MAY21      ----      ----      ----      ----      -.02    -.02                    .00
JUN21      ----      ----      ----      ----       .01    -.03                    .04
JLY21      ----      ----      ----      ----       .00    -.02                    .02
AUG21      ----      ----      ----      ----      -.02    -.03                    .01
SEP21      ----      ----      ----      ----      -.04    -.02                   -.02
OCT21      ----      ----      ----      ----      -.05    -.02                   -.03
NOV21      ----      ----      ----      ----      -.07    -.03                   -.04
DEC21      ----      ----      ----      ----       .00    -.02                    .02
JAN22      ----      ----      ----      ----      -.01    -.01                    .00
FEB22      ----      ----      ----      ----      -.03    -.02                   -.01
MAR22      ----      ----      ----      ----      -.04    -.02                   -.02
APR22      ----      ----      ----      ----      -.05    -.02                   -.03
MAY22      ----      ----      ----      ----      -.06    -.02                   -.04
JUN22      ----      ----      ----      ----      -.01    -.02                    .01
JLY22      ----      ----      ----      ----      -.02    -.02                    .00
AUG22      ----      ----      ----      ----      -.04    -.02                   -.02
SEP22      ----      ----      ----      ----      -.05    -.01                   -.04
OCT22      ----      ----      ----      ----      -.07    -.01                   -.06
NOV22      ----      ----      ----      ----      -.08    -.01                   -.07
DEC22      ----      ----      ----      ----       .00    -.01                    .01
JAN23      ----      ----      ----      ----      -.01    -.01                    .00
FEB23      ----      ----      ----      ----      -.02    -.01                   -.01
MAR23      ----      ----      ----      ----      -.03    +.01                   -.04
APR23      ----      ----      ----      ----      -.06    UNCH                   -.06
MAY23      ----      ----      ----      ----      -.08    -.01                   -.07
JUN23      ----      ----      ----      ----      -.03    -.01                   -.02
JLY23      ----      ----      ----      ----      -.03    -.01                   -.02
AUG23      ----      ----      ----      ----      -.04    UNCH                   -.04
SEP23      ----      ----      ----      ----      -.06    UNCH                   -.06
OCT23      ----      ----      ----      ----      -.08    -.01                   -.07
NOV23      ----      ----      ----      ----      -.08    -.01                   -.07
DEC23      ----      ----      ----      ----      -.02    UNCH                   -.02
JAN24      ----      ----      ----      ----       .05    +.01                    .04
FEB24      ----      ----      ----      ----      -.06    UNCH                   -.06
MAR24      ----      ----      ----      ----      -.04    UNCH                   -.04
APR24      ----      ----      ----      ----      -.04    +.01                   -.05
MAY24      ----      ----      ----      ----      -.05    UNCH                   -.05
JUN24      ----      ----      ----      ----      -.01    UNCH                   -.01
JLY24      ----      ----      ----      ----       .03    +.01                    .02
AUG24      ----      ----      ----      ----      -.12    UNCH                   -.12
SEP24      ----      ----      ----      ----      -.04    +.01                   -.05
OCT24      ----      ----      ----      ----      -.04    UNCH                   -.04
NOV24      ----      ----      ----      ----      -.07    +.01                   -.08
DEC24      ----      ----      ----      ----      -.01    UNCH                   -.01
JAN25      ----      ----      ----      ----      -.03    +.01                   -.04
FEB25      ----      ----      ----      ----      -.02    UNCH                   -.02
MAR25      ----      ----      ----      ----       .02    +.01                    .01
APR25      ----      ----      ----      ----      -.04    UNCH                   -.04
MAY25      ----      ----      ----      ----      -.01    UNCH                   -.01
JUN25      ----      ----      ----      ----       .00    +.01                   -.01
JLY25      ----      ----      ----      ----      -.06    UNCH                   -.06
AUG25      ----      ----      ----      ----      -.01    +.01                   -.02
SEP25      ----      ----      ----      ----      -.02    UNCH                   -.02
OCT25      ----      ----      ----      ----      -.03    +.01                   -.04
NOV25      ----      ----      ----      ----      -.07    UNCH                   -.07
BH NY Harbor ULSD Bullet Futures
MAR20      ----      ----      ----      ----    1.6125  -.0308                 1.6433                      10
APR20      ----      ----      ----      ----    1.6093  -.0300                 1.6393                      10
MAY20      ----      ----      ----      ----    1.6086  -.0302                 1.6388                      10
JUN20      ----      ----      ----      ----    1.6122  -.0298                 1.6420                      10
JLY20      ----      ----      ----      ----    1.6192  -.0288                 1.6480                      10
AUG20      ----      ----      ----      ----    1.6276  -.0279                 1.6555                      10
SEP20      ----      ----      ----      ----    1.6375  -.0268                 1.6643                      10
OCT20      ----      ----      ----      ----    1.6470  -.0259                 1.6729                      10
NOV20      ----      ----      ----      ----    1.6553  -.0252                 1.6805                      10
DEC20      ----      ----      ----      ----    1.6619  -.0242                 1.6861                      10
JAN21      ----      ----      ----      ----    1.6684  -.0235                 1.6919
FEB21      ----      ----      ----      ----    1.6714  -.0231                 1.6945
MAR21      ----      ----      ----      ----    1.6694  -.0222                 1.6916
APR21      ----      ----      ----      ----    1.6626  -.0210                 1.6836
MAY21      ----      ----      ----      ----    1.6627  -.0195                 1.6822
JUN21      ----      ----      ----      ----    1.6639  -.0176                 1.6815
JLY21      ----      ----      ----      ----    1.6689  -.0163                 1.6852
AUG21      ----      ----      ----      ----    1.6742  -.0149                 1.6891
SEP21      ----      ----      ----      ----    1.6799  -.0138                 1.6937
OCT21      ----      ----      ----      ----    1.6859  -.0127                 1.6986
NOV21      ----      ----      ----      ----    1.6922  -.0112                 1.7034
DEC21      ----      ----      ----      ----    1.6970  -.0102                 1.7072
JAN22      ----      ----      ----      ----    1.7024  -.0094                 1.7118
FEB22      ----      ----      ----      ----    1.7017  -.0079                 1.7096
