        FINAL POST-CLEARING PRICES AS OF 07/22/20 10:32 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----    .16500 -.05250                 .21750
AUG20      ----      ----      ----      ----    .03750 +.02000                 .01750
SEP20      ----      ----      ----      ----    .01500 +.01000                 .00500
OCT20      ----      ----      ----      ----    .01000 +.00750                 .00250
NOV20      ----      ----      ----      ----    .00500 +.00250                 .00250
DEC20      ----      ----      ----      ----    .00250 +.00250                 .00000
JAN21      ----      ----      ----      ----   -.00750    UNCH                -.00750
FEB21      ----      ----      ----      ----   -.00750    UNCH                -.00750
MAR21      ----      ----      ----      ----   -.00750    UNCH                -.00750
APR21      ----      ----      ----      ----   -.01000    UNCH                -.01000
MAY21      ----      ----      ----      ----   -.01000    UNCH                -.01000
2CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----    .20250 -.03250                 .23500
AUG20      ----      ----      ----      ----    .05250 +.03000                 .02250
SEP20      ----      ----      ----      ----    .02500 +.01750                 .00750
OCT20      ----      ----      ----      ----    .01500 +.01000                 .00500
NOV20      ----      ----      ----      ----    .00750 +.00500                 .00250
DEC20      ----      ----      ----      ----   -.00500 +.00250                -.00750
JAN21      ----      ----      ----      ----   -.01500    UNCH                -.01500
FEB21      ----      ----      ----      ----   -.01500    UNCH                -.01500
MAR21      ----      ----      ----      ----   -.01750    UNCH                -.01750
APR21      ----      ----      ----      ----   -.02000    UNCH                -.02000
2RB RBOB TAM SYNTHETIC LONDON FUTURE
AUG20      ----      ----      ----      ----    1.2763  -.0059                 1.2822
SEP20      ----      ----      ----      ----    1.2539  -.0111                 1.2650
OCT20      ----      ----      ----      ----    1.1683  -.0148                 1.1831
3A WTI OIL CS12SYNTHT
SEP20      ----      ----      ----      ----     -1.29    -.08                  -1.21
OCT20      ----      ----      ----      ----     -1.23    -.08                  -1.15
NOV20      ----      ----      ----      ----     -1.18    -.06                  -1.12
DEC20      ----      ----      ----      ----     -1.15    -.04                  -1.11
JAN21      ----      ----      ----      ----     -1.09    -.02                  -1.07
FEB21      ----      ----      ----      ----     -1.02    UNCH                  -1.02
MAR21      ----      ----      ----      ----      -.96    +.02                   -.98
APR21      ----      ----      ----      ----      -.93    +.02                   -.95
MAY21      ----      ----      ----      ----      -.91    +.02                   -.93
JUN21      ----      ----      ----      ----      -.90    +.01                   -.91
JLY21      ----      ----      ----      ----      -.88    -.01                   -.87
AUG21      ----      ----      ----      ----      -.88    -.02                   -.86
SEP21      ----      ----      ----      ----      -.86    UNCH                   -.86
DEC21      ----      ----      ----      ----      -.94    +.01                   -.95
MAR22      ----      ----      ----      ----      -.97    UNCH                   -.97
JUN22      ----      ----      ----      ----      -.93    +.03                   -.96
SEP22      ----      ----      ----      ----      -.97    +.04                  -1.01
DEC22      ----      ----      ----      ----      -.90    +.05                   -.95
MAR23      ----      ----      ----      ----      -.93    +.08                  -1.01
JUN23      ----      ----      ----      ----      -.89    +.07                   -.96
3CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----    .21750 -.02250                 .24000
AUG20      ----      ----      ----      ----    .06250 +.03750                 .02500
SEP20      ----      ----      ----      ----    .03000 +.02000                 .01000
OCT20      ----      ----      ----      ----    .01750 +.01250                 .00500
NOV20      ----      ----      ----      ----    .00000 +.00500                -.00500
DEC20      ----      ----      ----      ----   -.01250 +.00250                -.01500
JAN21      ----      ----      ----      ----   -.02250    UNCH                -.02250
FEB21      ----      ----      ----      ----   -.02500    UNCH                -.02500
MAR21      ----      ----      ----      ----   -.02750    UNCH                -.02750
4A WTI OIL CS6 SYNTHT
SEP20      ----      ----      ----      ----      -.73    -.10                   -.63
OCT20      ----      ----      ----      ----      -.70    -.10                   -.60
NOV20      ----      ----      ----      ----      -.67    -.07                   -.60
DEC20      ----      ----      ----      ----      -.66    -.05                   -.61
JAN21      ----      ----      ----      ----      -.63    -.01                   -.62
FEB21      ----      ----      ----      ----      -.58    +.02                   -.60
MAR21      ----      ----      ----      ----      -.56    +.02                   -.58
APR21      ----      ----      ----      ----      -.53    +.02                   -.55
MAY21      ----      ----      ----      ----      -.51    +.01                   -.52
JUN21      ----      ----      ----      ----      -.49    +.01                   -.50
JLY21      ----      ----      ----      ----      -.46    -.01                   -.45
AUG21      ----      ----      ----      ----      -.44    -.02                   -.42
SEP21      ----      ----      ----      ----      -.40    UNCH                   -.40
